Frame,Crowd Count
12,23
13,23
14,23
15,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
23,23
24,23
25,23
26,23
27,23
28,23
29,23
30,24
31,25
32,25
33,25
34,26
35,26
36,28
37,28
38,28
39,28
40,29
41,31
42,31
43,31
44,31
45,31
46,31
47,31
48,31
49,31
50,31
51,31
52,31
53,33
54,33
55,33
56,33
57,33
58,33
59,34
60,34
61,34
62,34
63,34
64,35
65,35
66,35
67,36
68,36
69,37
70,37
71,37
72,37
73,37
74,37
75,38
76,39
77,39
78,39
79,39
80,39
81,39
82,40
83,40
84,40
85,40
86,40
87,40
88,41
89,41
90,41
91,41
92,41
93,41
94,41
95,41
96,41
97,41
98,41
99,41
100,41
101,41
102,41
103,41
104,41
105,41
106,40
107,40
108,40
109,40
110,40
111,40
112,40
113,40
114,40
115,40
116,41
117,42
118,42
119,43
120,43
121,43
122,43
123,43
124,43
125,42
126,43
127,43
128,43
129,43
130,43
131,43
132,43
133,42
134,42
135,42
136,42
137,41
138,40
139,40
140,40
141,40
142,39
143,38
144,38
145,38
146,39
147,39
148,38
149,38
150,38
151,38
152,38
153,38
154,38
155,38
156,38
157,38
158,38
159,38
160,38
161,38
162,37
163,38
164,38
165,38
166,37
167,37
168,37
169,38
170,38
171,38
172,38
173,38
174,38
175,38
176,38
177,38
178,38
179,38
180,38
181,38
182,38
183,39
184,39
185,39
186,39
187,39
188,39
189,38
190,38
191,38
192,37
193,37
194,38
195,38
196,38
197,38
198,38
199,38
200,38
201,39
202,39
203,39
204,39
205,38
206,38
207,38
208,38
209,38
210,38
211,40
212,40
213,40
214,40
215,40
216,40
217,40
218,39
219,40
220,40
221,40
222,40
223,40
224,41
225,41
226,41
227,41
228,40
229,41
230,40
231,40
232,40
233,40
234,40
235,39
236,39
237,39
238,39
239,38
240,38
241,38
242,38
243,38
244,38
245,38
246,39
247,39
248,38
249,38
250,38
251,39
252,39
253,40
254,41
255,41
256,41
257,42
258,42
259,42
260,42
261,42
262,41
263,41
264,41
265,41
266,41
267,41
268,42
269,43
270,43
271,44
272,44
273,44
274,44
275,44
276,44
277,44
278,44
279,43
280,43
281,43
282,44
283,45
284,45
285,46
286,46
287,46
288,46
289,46
290,46
291,46
292,46
293,46
294,46
295,46
296,46
297,46
298,46
299,46
300,47
301,47
302,46
303,45
304,45
305,45
306,45
307,45
308,45
309,46
310,46
311,47
312,46
313,46
314,46
315,46
316,47
317,47
318,47
319,47
320,45
321,44
322,44
323,44
324,44
325,43
326,43
327,44
328,43
329,44
330,44
331,43
332,43
333,44
334,44
335,43
336,43
337,43
338,43
339,43
340,43
341,44
